accession	virus_name	genus	family	source
MN769173.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769175.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769177.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769178.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769179.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769180.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769181.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769182.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769183.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769185.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769186.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769187.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769188.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769189.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769190.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769191.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769192.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769193.1	TTV-like mini virus	Hetorquevirus	Anelloviridae	clareaulab
MN769200.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769201.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769202.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769204.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769205.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769206.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769207.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769209.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769210.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769211.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769212.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769214.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769219.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769221.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769223.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769224.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769226.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769228.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769231.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769233.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769234.1	Torque teno hominid virus 2	Hetorquevirus	Anelloviridae	clareaulab
MN769235.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769236.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769237.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769238.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769241.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769244.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769245.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769246.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769247.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769251.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769252.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769253.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769256.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769257.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769258.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769259.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769260.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769263.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769264.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769265.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769266.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769269.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769270.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769273.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769274.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769281.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769282.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769283.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769286.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769289.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769292.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769293.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769294.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769297.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769298.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769300.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769301.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769302.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769303.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769304.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769305.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769308.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769309.1	TTV-like mini virus	Gammatorquevirus	Anelloviridae	clareaulab
MN769310.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769311.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769314.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769316.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769318.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769319.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769320.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769321.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769323.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769324.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769325.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769329.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769330.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769332.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769333.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769335.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769336.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769337.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769340.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769342.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769344.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769346.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769347.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769348.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769349.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769350.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769351.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769353.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769355.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769356.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769357.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769358.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769359.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769363.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769365.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769367.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769369.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769372.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769373.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769375.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769376.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769380.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769382.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769383.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769384.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769386.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769389.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769390.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769392.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769395.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769398.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769401.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769402.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769403.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769404.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769405.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769407.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769409.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769410.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769412.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769414.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769415.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769416.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769417.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769418.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769425.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769426.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769427.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769428.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769432.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769433.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769434.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769436.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769437.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769438.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769440.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769441.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769442.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769446.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769447.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769448.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769449.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769450.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769451.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769453.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769454.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769455.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769457.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769459.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769460.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769461.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769463.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769464.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769465.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769466.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769470.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769472.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769473.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769475.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769476.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769480.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769482.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769484.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769492.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769494.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769497.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769500.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769501.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769506.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769507.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769508.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769510.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769513.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769515.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769519.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769522.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769523.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769524.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769525.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769527.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769532.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769533.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769535.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769537.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769540.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769541.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769542.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769543.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769544.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769545.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769546.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769549.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769550.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769552.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769554.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769556.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769558.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769559.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769560.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769561.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769562.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769563.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769564.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769565.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769566.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769567.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769568.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769569.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769573.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769574.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769576.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769577.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769578.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769579.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769580.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769581.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769583.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769584.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769585.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769586.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769587.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769589.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769596.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769597.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769598.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769599.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769600.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769602.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769605.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769606.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769608.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769611.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769612.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769614.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769615.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769616.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769617.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769618.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769619.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769620.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769621.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769625.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769627.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769629.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769630.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769632.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769633.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769639.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769641.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769642.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769647.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769648.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769649.1	TTV-like mini virus	Hetorquevirus	Anelloviridae	clareaulab
MN769650.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769651.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769658.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769659.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769661.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769662.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769663.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769665.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769666.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769667.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769670.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769671.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769676.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769678.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769680.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769682.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769684.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769686.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769690.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769692.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769694.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769695.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769701.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769702.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769705.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769706.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769711.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769713.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769716.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769719.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769721.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769722.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769730.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769732.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769733.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769734.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769737.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769738.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769739.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769742.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769746.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769747.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769748.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769749.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769756.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769763.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769768.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769772.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769773.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769774.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769776.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769780.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769782.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769785.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769788.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769789.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769790.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769793.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769794.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769795.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769796.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769797.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769801.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769802.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769804.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769805.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769806.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769809.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769810.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769816.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769818.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769824.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769828.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769832.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
